央视频-央视频道,#genre#
中天新聞,p5p://174.128.239.254:16871/5f2f9178000c4ec022496d33f280ef95
中天新聞,p5p://45.92.126.18:9906/6108751d000ce82f133327c1075ab46a
中天娛樂台,p5p://45.92.126.18:9906/611b007f000176330de407af7d789687
三立新聞,p5p://45.92.126.18:9906/604351bb000723c406ea11b7e2f757c8.ts
三立新聞,p5p://45.92.126.18:9906/604351bb000723c406ea11b7e2f757c8
三立財經,p5p://45.92.126.18:9906/604496f8000b3b7b02009e1b5871dd53.ts
TVBS,p5p://45.92.126.18:9906/60435407000d43d906f30c28a0b64eda.ts
TVBS,p5p://45.92.126.18:9906/60435407000d43d906f30c28a0b64eda
TVBS新聞,p5p://45.92.126.18:9906/6075902e00016792114a73588fb745ba
TVBS新聞,p5p://45.92.126.18:9906/60435300000abe3e06ef082bf48727a4.ts
TVBS精彩台,p5p://45.92.126.18:9906/610ccbbc000ada220a2a333a700ad566
TVBS歡樂台,p5p://0198.02686.cc:16871/5dbad7cb0007c9accdfc423fb19c38d1.ts
TVBS歡樂台,p5p://45.92.126.18:9906/60449be700025e680213e16e7d39f5a6.ts
八大第一,p5p://45.92.126.18:9906/611a7e950004e4af0be88e80bf4b6388
非凡新聞,p5p://45.92.126.18:9906/6044966b0006d57a01fe7633c96a5506.ts
年代新聞,p5p://45.92.126.18:9906/60434d73000091e406d956c8607013df.ts
年代新聞,p5p://45.92.126.18:9906/60434d73000091e406d956c8607013df
緯來综合,p5p://45.92.126.18:9906/6045be33000be06a0681dcbdb39f2973.ts
緯來電影,p5p://45.92.126.18:9906/.6045bc330008915e067a0be52c863eff.ts
緯來電影,p5p://45.92.126.18:9906/611ee70200084d5b03377d42bd45bfec
緯來精彩,p5p://45.92.126.18:9906/6044a30800006812022fb9d6202c684d.ts
緯來日本台,p5p://45.92.126.18:9906/6044a02c000bf3c30224916a373cdb2c.ts
緯來體育HD,p5p://45.92.126.18:9906/6044a3c3000d96e6023297aef85769a2.ts
JET综合,p5p://45.92.126.18:9906/6044d49a0003828802f15cf1eb31478a.ts
好萊塢電影,p5p://45.92.126.18:9906/6044d78800021f9602fcce46b541cf65.ts
AXN,p5p://45.92.126.18:9906/6044d92d0004949903033b6f41d556d0.ts
AXN,p5p://45.92.126.18:9906/60463ee9000522e20878a1f4688ea89f.ts
Cinemax,p5p://45.92.126.18:9906/6044da6a0001a688030810f78cca6d6c.ts
Cinemax,p5p://45.92.126.18:9906/60463f7d000802da087ae4d0305dfcaf.ts
龍祥電影台,p5p://45.92.126.18:9906/6045bb31000469b906761b04cfa6bdb1.ts
東風衛視,p5p://45.92.126.18:9906/604640af000dbd7a087f919857110af4.ts
天映電影,p5p://45.92.126.18:9906/60441c660009af940021d366383a86ea.ts
星衛HD電影,p5p://45.92.126.18:9906/6044d33b0006a70302ec02a7d10a2600.ts
星衛HD電影,p5p://45.92.126.18:9906/60494c90000347391465f5d2b8473dbe.ts
美亞電影台,p5p://45.92.126.18:9906/60494bf1000472fc14638907b18fe55b.ts
光影歐洲,p5p://45.92.126.18:9906/604420030008e014002ff07922c6f89b.ts
華藝影劇,p5p://45.92.126.18:9906/604420fd000850e60033c0e469119c7f.ts
華藝MBC綜合,p5p://45.92.126.18:9906/604421d400072b6600370871d6641107.ts
thrill電影台,p5p://45.92.126.18:9906/604413240002c04b09dd92bffd4adc1b.ts
KIX電影台,p5p://45.92.126.18:9906/6044145c000e8fb900026d95dbb7683a.ts
罪案偵緝頻道,p5p://45.92.126.18:9906/604947cc00047a751453588132b90a12.ts
華納Warner TV,p5p://45.92.126.18:9906/604414f400055b780004bcfa6ee82d22.ts
CinemaWorld,p5p://45.92.126.18:9906/604415aa00054259000783e434297e54.ts
衛視西片,p5p://45.92.126.18:9906/604416620003377d000a521e160e3141.ts
BLUE ANT EXTREME,p5p://45.92.126.18:9906/60441771000d4807000e774ad2f62e16.ts
Comedy Central Asia,p5p://45.92.126.18:9906/6044183b000d06f700118c4956df7f03.ts
CatchPlay電影台,p5p://45.92.126.18:9906/6044191d000d8b620014ff3bef2f4594	.ts
CatchPlay電影台,p5p://45.92.126.18:9906/6044191d000d8b620014ff3bef2f4594%20.ts
WakuWakuJapan,p5p://45.92.126.18:9906/604419f4000340840018447096a9f004.ts
FOX HD,p5p://45.92.126.18:9906/6130442d0000201d133dff92bc0fef39
FOX 頻道,p5p://45.92.126.18:9906/60440eb10006690c09cc32777254e90a.ts
FOX動作台,p5p://45.92.126.18:9906/60440fd1000e6f3b09d0998515d1967d.ts
FOX優質電影台,p5p://45.92.126.18:9906/60441060000dae1309d2c7eb236de319.ts
Fox福斯家庭,p5p://45.92.126.18:9906/6044114c0004d19e09d65f86a75bad6b.ts
Fox福斯家庭,p5p://45.92.126.18:9906/60442b6d000654ae005c85e289945252.ts
FOX CRIME福斯警匪,p5p://45.92.126.18:9906/60440e1600029d1f09c9d406f98d5158.ts
Outdoor,p5p://45.92.126.18:9906/60434713000a12a206c07237b306369a
Outdoor,p5p://45.92.126.18:9906/604402870001f71c099cad43e96233b3.ts
FX-HD,p5p://45.92.126.18:9906/60440f3c000c153709ce52e28565fc29.ts
FX-HD,p2p://fccs.123178.top:98906/60440f3c000c153709ce52e28565fc29.ts
采昌影劇,p5p://45.92.126.18:9906/604411ec0004d59109d8d087e9645ce6.ts
靖洋卡通台,p5p://45.92.126.18:9906/60bd169300057f1b0955c9653d8db6ac
靖天卡通台,p5p://45.92.126.18:9906/60bd172500015f0f095802a7f2bd13c9
靖天歡樂,p5p://45.92.126.18:9906/60c5a564000c898610c85d82cfc3a4e3
靖天育樂,p5p://45.92.126.18:9906/60c5a45d000a99f910c459ab1ccabbf3
靖天日本台,p5p://45.92.126.18:9906/6045b8aa000389cf066c3b7385e82ede.ts%20
靖天國際台,p5p://45.92.126.18:9906/60bd140b000e6170094be86cd1b01e57
龍華動畫,p5p://45.92.126.18:9906/6044594300037550010f9116e9856cd9.ts
龍華影劇,p5p://45.92.126.18:9906/604347a3000cc1fe06c2a567b371c0d6.ts
龍華電影,p5p://45.92.126.18:9906/604426fa000c13eb004b26236e73affa.ts
龍華洋片,p5p://45.92.126.18:9906/6044287d000e2bb500510e64fec426ab.ts
HBO-HD,p5p://45.92.126.18:9906/604338a40001163206880e5297cc95ab
HBO原创,p5p://45.92.126.18:9906/604339520007991f068ab7ad0427275f
HBO Hits HD,p5p://45.92.126.18:9906/60442428000dc9020040224339113352
HBO 家庭,p5p://45.92.126.18:9906/604339d800036fb3068cc20c2898df9c
HBO 家庭,p5p://45.92.126.18:9906/610b3ea6000bd4a6041b158a2a02ace5
探索频道,p5p://45.92.126.18:9906/60433c22000c069b0695b54fa99695c8
探索频道,p5p://45.92.126.18:9906/610b440f00018f2d04303511f19e7e5a
探索亞洲频道,p5p://45.92.126.18:9906/60433ee00002fb7906a0692e6558cb55
探索亞洲频道,p5p://45.92.126.18:9906/60433ee00002fb7906a0692e6558cb55.ts
探索科學,p5p://45.92.126.18:9906/6043456f00065dec06ba08a499663c96
